loc_code,natearth_subunit,region,decimallatitude,decimallongitude,verbatimelevation,verbatimcoordinates,ecocode
DR22B1A,Hawaii,Kauaʻi,22.1294,-159.5775,1260m,,
DR22B1B,Hawaii,Kauaʻi,22.1281,-159.5774,1260m,,
DR22B1C,Hawaii,Kauaʻi,22.1272,-159.5763,1270m,,
DR22B1D,Hawaii,Kauaʻi,22.1289,-159.5781,1250m,,
DR22B1E,Hawaii,Kauaʻi,22.1288,-159.5774,1260m,,
DR22B1F,Hawaii,Kauaʻi,22.1288,-159.5774,1260m,,
DR22B1G,Hawaii,Kauaʻi,22.1302,-159.5789,1260m,,
DR22B1H,Hawaii,Kauaʻi,22.1292,-159.5777,1260m,,
DR22B1I,Hawaii,Kauaʻi,22.129,-159.5787,1250m,,
DR22B1J,Hawaii,Kauaʻi,22.1285,-159.5773,1260m,,
DR22B1K,Hawaii,Kauaʻi,22.1285,-159.5773,1260m,,
DR22B1L,Hawaii,Kauaʻi,22.1285,-159.5773,1260m,,
DR22B1M,Hawaii,Kauaʻi,22.1273,-159.5755,1270m,,
DR22B1N,Hawaii,Kauaʻi,22.1294,-159.5784,1260m,,
DR22B1O,Hawaii,Kauaʻi,22.1273,-159.5755,1270m,,
DR22B1P,Hawaii,Kauaʻi,22.1274,-159.5752,1270m,,
DR22B1Q,Hawaii,Kauaʻi,22.1292,-159.5777,1260m,,
DR22B2A,Hawaii,Oʻahu,21.2821,-157.6775,7m,,
DR22B2D1,Hawaii,Oʻahu,21.2812,-157.6792,30m,,
DR22B2D2,Hawaii,Oʻahu,21.2812,-157.6792,30m,,
DR22B2E,Hawaii,Oʻahu,21.3095,-157.6563,50m,,
DR22B2F,Hawaii,Oʻahu,21.3095,-157.6563,50m,,
DR22B2G,Hawaii,Oʻahu,21.3095,-157.6563,50m,,
DR22B3A,Hawaii,Oʻahu,21.5794,-157.9214,625m,,
DR22B5A,Hawaii,Oʻahu,21.3264,-157.7483,780m,,
DR22B2C,Hawaii,Oʻahu,21.3091,-157.6507,170m,,
DR22B2B,Hawaii,Oʻahu,21.2818,-157.6783,10m,,
DR22A1A,Hawaii,Oʻahu,21.2616,-157.8111,135m,,
DR21K2A,Hawaii,Oʻahu,21.4394,-157.8892,395m,,
DR21K2B,Hawaii,Oʻahu,21.4369,-157.8954,395m,,
DR21K2C,Hawaii,Oʻahu,21.4369,-157.8954,395m,,
DR21K2D,Hawaii,Oʻahu,21.4331,-157.9054,300m,,
DR21K2E,Hawaii,Oʻahu,21.4331,-157.9054,300m,,
DR22C2A,Hawaii,Oʻahu,21.4084,-157.8754,510m,,
DR22C2B,Hawaii,Oʻahu,21.4082,-157.8769,475m,,
DR22C2C,Hawaii,Oʻahu,21.408,-157.8776,485m,,
DR22C4A,Hawaii,Oʻahu,21.4667,-158.1028,810m,,
DR22C4B,Hawaii,Oʻahu,21.467,-158.1035,860m,,
DR22C4C,Hawaii,Oʻahu,21.467,-158.1029,810m,,
DR22C5A,Hawaii,Hawaiʻi,19.4319,-155.2835,1230m,,
DR22C5B,Hawaii,Hawaiʻi,19.4421,-155.3049,1250m,,
DR22C5C,Hawaii,Hawaiʻi,19.4406,-155.301,1220m,,
DR22C5D,Hawaii,Hawaiʻi,19.4621,-155.2475,1170m,,
DR22C5E,Hawaii,Hawaiʻi,19.4946,-155.2682,1330m,,
DR22C5F,Hawaii,Hawaiʻi,19.4917,-155.2662,1320m,,
DR22C5H,Hawaii,Hawaiʻi,19.4505,-155.1255,700m,,
